epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.5679066138499228,6144569344,0.8768,0.06440304527282714,0.4957737574974696,0.16702673708399138,0.007818771991878748,0.005390923625479142,0.0,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.5680914894699136,6145093632,0.8881,0.06121846842765808,0.5808132787545522,0.17912933230400085,0.00842921637619535,0.005072818758587043,0.0,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.5692757944316815,6145093632,0.8933,0.062247631382942196,0.8098508616288503,0.23368261009454727,0.006691977847367525,0.0045007386555274325,0.0,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.5699831518675665,6145093632,0.8973,0.062109040021896364,0.41238463421662647,0.12082097306847572,0.0025630999201287827,0.0014915740466676652,0.0,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.5698236992292087,6145093632,0.9004,0.06369288992881775,0.2343775456150373,0.06955808711548646,0.00045590416023818153,0.00029032062108550843,0.0,nan,0,0,0,lora-first
1,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.4737089338814816,6144471040,0.8709,0.0676495157957077,0.5159896065791448,0.18480964377522469,0.007518501952290535,0.005209617277917762,0.0,nan,0,200,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.5693745119187533,6145093632,0.8848,0.06276379454135894,0.7148595154285431,0.2125408723950386,0.00850521819666028,0.005402513934920232,0.0,nan,0,200,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.5683019331958897,6145093632,0.8896,0.06440919110774994,0.5500024954477946,0.16453720008333525,0.005566149329145749,0.0037953459347287812,0.0,nan,0,200,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.5710567391437033,6145093632,0.8977,0.06459736090898514,0.4623013734817505,0.1422178422411283,0.0026005334608877697,0.0017575714155100286,0.0,nan,0,200,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.5704340898167447,6145093632,0.8986,0.06420327847003937,0.3094393660624822,0.08025262815256913,0.0005335924312627564,0.0003501115570543334,0.0,nan,0,200,0,lora-first
